Iteration,Parameter 1 (ss),Parameter 2 (ha),Parameter 3 (pa),Output Parameter (d),Output hit probability
188,99.96955034,0.01174573,45.02276691,0.36876381,0.93800000
158,99.93040422,0.03403755,45.01102554,0.36362936,0.92600000
363,100.04927757,0.01355261,45.02005037,0.36027457,0.93400000
121,99.83983894,-0.03352863,45.01413850,0.35979212,0.88900000
161,99.93050940,0.02300469,45.00762819,0.35967355,0.92700000
58,99.31366785,0.00334555,45.02153008,0.35811286,0.62500000
246,99.89130316,0.01614751,45.00473917,0.35723968,0.90600000
313,99.96537579,-0.01650454,45.00035515,0.35247882,0.95100000
420,100.01731462,-0.00428257,45.01986197,0.35198903,0.95400000
398,100.05393337,0.03103808,44.98226085,0.35173400,0.92800000
354,99.98787863,-0.01106452,45.01578848,0.35015635,0.94800000
309,99.97254482,-0.01407266,44.95568244,0.34980725,0.91800000
183,100.01650056,-0.02413679,45.02854111,0.34899530,0.92000000
445,99.99949505,-0.01766345,44.99232764,0.34841038,0.94000000
244,99.90124878,0.01459004,45.01895667,0.34675137,0.92700000
480,100.01291870,0.00987014,44.97072934,0.34240923,0.95100000
81,99.61544987,0.00473446,45.03187118,0.34225793,0.77500000
201,99.96341585,0.00229636,44.99222080,0.34147726,0.94500000
339,99.99507303,-0.01227314,45.00675689,0.34123583,0.94400000
267,99.93346918,0.01627301,44.99713319,0.33949581,0.92800000
493,99.98031401,-0.02106203,44.98902841,0.33752386,0.94400000
424,100.03968294,0.00285734,44.99186637,0.33648555,0.94000000
432,100.01813666,0.00098772,44.99801510,0.33495325,0.96600000
126,99.81944813,0.00520223,44.98481683,0.32970017,0.85800000
112,99.78724930,-0.01665861,44.98890984,0.32885107,0.84300000
199,99.97675439,0.00918542,45.01888319,0.32123710,0.94700000
366,100.05970623,-0.00455592,44.99000630,0.32008404,0.94400000
103,99.75969345,0.02079407,45.02184041,0.31055742,0.83500000
307,99.96384098,-0.00629063,44.97272974,0.30669338,0.94200000
483,100.02542024,-0.01751623,44.96509117,0.30476209,0.93200000
359,100.00879377,-0.03315827,45.02080589,0.30335498,0.92700000
135,99.83954488,-0.00829062,44.99030238,0.30169205,0.90700000
435,100.03302715,0.01262347,44.99350189,0.29940053,0.94800000
469,100.03365193,0.01405238,45.00368420,0.28586644,0.94600000
271,99.92887155,-0.00523294,45.00294582,0.28548416,0.93900000
122,99.83363092,-0.01676432,45.00706925,0.28450372,0.88200000
293,99.93318570,-0.01567038,45.00412514,0.28204552,0.94800000
124,99.83822171,-0.02919108,45.03926731,0.27698176,0.88900000
108,99.79642254,0.03346231,44.97255751,0.27244929,0.86100000
381,100.08601286,-0.02646193,44.99467590,0.27086413,0.93500000
149,99.90318173,0.02722728,44.99507692,0.27049506,0.92300000
464,100.05392586,-0.00032381,44.96789435,0.26418326,0.93000000
402,100.07938829,-0.00118512,44.99576630,0.25830084,0.93900000
56,99.31538690,-0.03661780,44.98612033,0.25345412,0.62900000
195,99.94534509,-0.00303324,45.00213099,0.25118301,0.95300000
153,99.92908353,-0.01079830,45.00281731,0.24681502,0.92700000
490,99.98217583,-0.01849622,44.96222727,0.24508105,0.93700000
294,99.93764265,-0.03283519,45.00206257,0.24452465,0.94400000
377,100.11074932,-0.02339090,45.01481446,0.24269351,0.90100000
482,100.02397303,-0.03503246,44.98018233,0.24226478,0.93900000
176,99.96883010,0.01049112,45.00326256,0.24001317,0.94900000
368,100.04978433,-0.02613898,44.98500157,0.23876229,0.95200000
300,99.96120750,0.04479945,44.95940723,0.23214051,0.88900000
457,100.05609609,0.00855282,44.99047664,0.23036081,0.95300000
240,99.90141534,-0.01655934,45.00330680,0.22562137,0.93900000
208,99.96674420,0.03087732,45.03900172,0.21181761,0.93000000
379,100.09791738,-0.00584772,44.97870361,0.21078454,0.92500000
374,100.10014458,0.01287283,45.01851565,0.20777280,0.93600000
168,99.90939395,-0.01427340,45.03521585,0.20751616,0.89600000
171,99.94622938,-0.01428418,45.00440198,0.19828460,0.93900000
388,100.08943685,-0.01700361,44.98511466,0.19710451,0.92200000
181,100.00554965,0.00345285,45.01416446,0.19397666,0.96400000
274,99.93601467,-0.04440412,45.01286823,0.19335724,0.91200000
409,99.98483348,-0.02071238,44.97731067,0.18700640,0.94900000
310,99.97529620,0.01796367,44.95284122,0.18557363,0.92200000
369,100.04592947,-0.03806949,44.99250079,0.16571843,0.91900000
43,99.13393359,-0.02298013,44.99778315,0.15302976,0.54500000
284,99.94892439,0.02676328,44.96207311,0.15190257,0.92000000
113,99.79137252,-0.03332930,44.96945492,0.13856579,0.85600000
214,99.97710040,0.02313871,44.99201565,0.13051724,0.95100000
498,99.99517908,0.00715431,44.97934464,0.11891384,0.94400000
41,99.10786670,-0.04192053,44.99113261,0.11224967,0.51100000
460,100.05265325,0.04481910,44.98630958,0.10879975,0.93100000
218,99.95537054,-0.00480383,45.01825098,0.09436650,0.95000000
446,99.99801727,0.01616827,44.99616382,0.08773207,0.94500000
