Iteration,Parameter 1 (ss),Parameter 2 (ha),Parameter 3 (pa),Output Parameter (d),Output hit probability
347,100.01774104,0.03374112,44.97092483,1.06669353,0.92400000
198,99.95651088,0.01837085,44.98776637,1.06290271,0.94300000
197,99.93647326,-0.01325831,44.97553275,1.05772043,0.93900000
71,99.49648146,-0.00191610,44.98609272,1.05674620,0.72700000
306,99.94324096,-0.01258126,44.99545949,1.05665657,0.93800000
146,99.87651100,-0.03218178,44.96061538,1.05576960,0.88300000
329,99.91443640,0.03230718,44.96905289,1.04783410,0.91700000
408,100.00419263,0.00857523,45.00462135,1.04752345,0.95700000
269,99.95426101,0.02906825,44.96178330,1.04657806,0.90900000
266,99.91283350,0.03254601,44.99426637,1.04493133,0.93600000
169,99.90772472,-0.00713670,45.01760792,1.04057931,0.92300000
20,98.68281972,-0.03286266,45.04171343,1.03654811,0.30400000
474,100.01965537,-0.01831086,44.97667763,1.03483775,0.96200000
397,100.07318679,0.01207616,45.01452171,1.03284454,0.92500000
343,99.99443119,-0.01014207,45.03479731,1.03087294,0.92600000
423,100.02091786,0.00571468,45.03373275,1.02782121,0.93300000
40,99.08750125,-0.03384107,44.98226523,1.02531406,0.51200000
278,99.91152373,-0.03715026,44.97267926,1.02486299,0.89200000
296,99.95012099,0.01679120,45.00051564,1.02457904,0.93800000
418,99.98129225,-0.01713030,44.97944787,1.02317181,0.94900000
451,100.00078228,-0.00261974,45.04050512,1.02076174,0.93400000
177,99.96914317,0.00524556,45.02663128,1.01968034,0.95000000
191,99.94342931,0.00146822,44.98409586,1.01797070,0.94200000
60,99.34413364,-0.02416361,45.01788252,1.01786646,0.65300000
33,98.98749880,0.01834316,44.97994894,1.01759211,0.45600000
350,100.01180497,-0.02703236,45.00261560,1.01338684,0.94800000
250,99.84208952,-0.01461578,44.99092120,1.01062456,0.90700000
170,99.92765901,0.02143165,45.00880396,0.99581448,0.93100000
106,99.77265317,-0.01615074,45.04023005,0.99131616,0.84900000
434,100.01473081,-0.02475307,44.98700378,0.99035997,0.94900000
487,100.01703592,0.00203024,44.99781820,0.98426807,0.94600000
96,99.72392579,0.01164107,44.99557287,0.97931162,0.83500000
321,99.92119259,0.02063865,44.97754045,0.97365681,0.92400000
340,99.99543379,-0.03113657,44.97837844,0.97305820,0.93200000
186,100.00510711,-0.00301710,44.99106764,0.97131027,0.96200000
206,99.97143686,0.02350926,45.00600690,0.97085843,0.93800000
303,99.95988853,-0.00065007,45.01367590,0.97039065,0.94700000
449,99.99642663,0.03952103,45.01202048,0.96833751,0.92800000
345,100.01786681,-0.01503552,45.03369933,0.96005615,0.93500000
187,99.98627879,-0.02650855,44.99553382,0.95922131,0.94800000
125,99.83491441,-0.03959554,45.01963366,0.95912445,0.88000000
204,99.97520802,0.04403704,44.97402760,0.95342649,0.91800000
115,99.79520002,0.00416767,44.95486373,0.95316588,0.84700000
500,99.98722510,0.00178858,45.01983616,0.95145452,0.95400000
470,100.03227598,0.00702619,44.97684210,0.95099719,0.94100000
463,100.07249565,-0.00064761,44.98578870,0.94558122,0.94500000
247,99.88693249,0.03307376,45.02736958,0.94280070,0.90300000
202,99.96824091,0.02614818,44.99611040,0.94261983,0.93900000
495,99.98970550,-0.04276551,44.98475710,0.93458061,0.92500000
23,98.75284917,-0.01660783,45.01771418,0.92992144,0.31400000
47,99.19393177,0.00168874,45.04361145,0.92785127,0.53700000
252,99.86887812,-0.01615395,45.01023030,0.92307228,0.89700000
404,100.06684067,0.03720372,45.02394158,0.92288353,0.91600000
272,99.93240323,-0.02761647,45.00147291,0.92277543,0.92900000
110,99.77691371,-0.01663442,44.95563938,0.92160474,0.84000000
361,100.02629164,0.00421043,45.03020147,0.92101079,0.94100000
147,99.89555857,0.00890911,44.98030769,0.91983615,0.91400000
348,99.99823131,-0.00812944,44.96046242,0.91770605,0.94500000
152,99.91257964,0.02840341,45.00563462,0.91401167,0.92100000
437,100.04062490,-0.02184413,45.03587547,0.90662742,0.92600000
94,99.68626788,-0.00343570,45.03229149,0.90269863,0.80600000
162,99.93713335,0.03650235,45.00381410,0.90201069,0.91800000
320,99.93728768,-0.00872269,45.00508090,0.89982564,0.94500000
373,100.08348706,0.02574566,44.98703130,0.89965539,0.94500000
98,99.73223773,0.01541027,44.99889322,0.89814694,0.85000000
387,100.10459554,0.01599278,45.02022931,0.89813417,0.91400000
99,99.74896704,-0.01729487,44.99944661,0.89763172,0.82800000
243,99.88524956,-0.02081992,45.03791335,0.89513088,0.91500000
241,99.90442696,-0.03327967,45.00165340,0.89458478,0.91700000
337,99.99003308,0.00090745,44.97702755,0.89447422,0.94600000
234,99.92130173,0.04020226,44.96163511,0.89321274,0.91200000
254,99.90566603,0.00846151,45.01505757,0.88927158,0.92600000
315,99.97612656,-0.02912614,45.01258879,0.88398076,0.93400000
178,99.98859275,-0.02237722,45.01331564,0.87812040,0.95300000
394,100.07333572,-0.00339068,45.01617367,0.87708086,0.95200000
74,99.53013831,-0.04398951,45.02951159,0.86994610,0.71500000
319,99.95251752,0.03255462,45.01016180,0.86765999,0.91600000
297,99.96990905,0.00839560,44.97525782,0.86413016,0.93800000
109,99.79276115,0.01673116,44.96127876,0.86160291,0.86300000
